state_abbreviation,percent_change,turnout_change
AK,93,9
AL,31,5.1
AR,68,3.1
AZ,119,11.9
CA,52,10.4
CO,82,7.4
CT,85,6.1
DC,116,5.2
DE,67,6.4
FL,76,7
GA,60,9.1
HI,16,13.2
IA,61,5.1
ID,77,9.4
IL,96,5.1
IN,117,4.9
KS,77,6.6
KY,90,5.5
LA,53,3.5
MA,64,5.3
MD,62,5.5
ME,68,5.3
MI,83,8.7
MN,57,6.6
MO,67,4
MS,37,4.4
MT,81,11.4
NC,59,7.8
ND,73,4.1
NE,47,7.5
NH,51,4.7
NJ,51,10.1
NM,74,6.8
NV,31,9.1
NY,132,4
OH,83,4.1
OK,69,2.9
OR,62,11
PA,100,7.6
RI,162,7
SC,131,7.8
SD,64,6.6
TN,64,8.9
TX,71,9
UT,56,12.3
VA,87,6.4
VT,40,14.3
WA,94,11.5
WI,75,6.9
WV,54,6.5
WY,62,6.4